Source_Name RAJ2000 DEJ2000 Redshift SpectrumType Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_beta CLASS SED_class Variability_Index Frac_Variability Unc_Frac_Variability Flux1000 Unc_Flux1000
J0001.2+4741 0.3125999867916107 47.6859016418457 -inf PowerLaw 2420.5751953125 2.156031226490697e-14 2.271695613861084 2.1965498945555537e-14 2.2540812492370605 0.01215613353997469 bcu ISP 25.313953399658203 0.6758824586868286 0.3128499984741211 1.2597956011717315e-10 2.877197438633239e-11
J0001.2-0747 0.3151000142097473 -7.797100067138672 -inf PowerLaw 1721.6038818359375 2.656894073239241e-13 2.116692304611206 2.8428309511129013e-13 2.0789265632629395 0.05118202418088913 bll LSP 46.78069305419922 0.40656524896621704 0.11186972260475159 7.4712191988624e-10 5.04193908845707e-11
J0001.4-0010 0.3716999888420105 -0.16990000009536743 0.461516 PowerLaw 4307.08251953125 6.0673558699723875e-15 1.939159631729126 6.488817441669499e-15 1.6612231731414795 0.13243834674358368 bll LSP 9.272764205932617 0.0 10.0 1.0822458207382368e-10 2.9144395230495945e-11
J0001.5+2113 0.3815000057220459 21.218299865722656 1.106 LogParabola 329.77374267578125 4.6835979539139316e-11 2.654059886932373 5.371561528910718e-11 2.5141594409942627 0.15931938588619232 fsrq ISP 1910.935791015625 0.9961379170417786 0.2134784758090973 1.3473535620533994e-09 6.172808791893303e-11
J0001.6-4156 0.4165000021457672 -41.942501068115234 -inf PowerLaw 4047.030029296875 1.8815413907902895e-14 1.7751754522323608 2.1315970364678416e-14 1.6938645839691162 0.07275369018316269 bcu HSP 26.393342971801758 0.49097704887390137 0.1757824867963791 2.8218166692184354e-10 3.090882411127538e-11
J0001.8-2153 0.46470001339912415 -21.886499404907227 -inf PowerLaw 4429.93408203125 4.942709991837858e-15 1.8766632080078125 7.494640690930247e-15 1.7166204452514648 0.40580785274505615 bcu LSP 24.557971954345703 0.9028507471084595 0.380106657743454 9.047530086236932e-11 2.4425272568406875e-11
J0002.1-6728 0.5378000140190125 -67.47460174560547 -inf LogParabola 3140.743408203125 2.5782966324547525e-14 1.8477731943130493 3.1999949294102964e-14 1.5934360027313232 0.18679024279117584 bll "" 12.530725479125977 0.1742536723613739 0.2362862080335617 2.5888083343694746e-10 3.210021831678844e-11
J0002.3-0815 0.5936999917030334 -8.265199661254883 -inf PowerLaw 3399.59375 1.0122238537266758e-14 2.0920746326446533 1.2610081876536939e-14 2.0607266426086426 0.14686869084835052 bcu LSP 13.014214515686035 0.0968620777130127 1.9647523164749146 1.1913824093934267e-10 3.1337221012561756e-11
J0002.4-5156 0.613099992275238 -51.93550109863281 -inf PowerLaw 4073.99609375 4.920186115220946e-15 1.9144564867019653 6.868273802479322e-15 1.5352649688720703 0.36898672580718994 bcu "" 17.686309814453125 0.5716937184333801 0.6248343586921692 7.80286113499784e-11 2.1195904406634547e-11
J0003.1-5248 0.7817000150680542 -52.807098388671875 -999.0 PowerLaw 3392.685791015625 3.0818548396854134e-14 1.915512204170227 3.316658471301526e-14 1.8593990802764893 0.0473734512925148 bcu "" 7.998425483703613 0.0 10.0 3.4436592466491334e-10 3.403267251345099e-11
J0003.2+2207 0.8058000206947327 22.130199432373047 0.09983 LogParabola 4582.17822265625 5.158159598235568e-15 2.1164166927337646 1.0684074644147588e-14 1.8975305557250977 0.9998927116394043 bll LSP 12.451855659484863 0.0 10.0 9.928426830674297e-11 3.024731506928724e-11
J0003.3-1928 0.8464999794960022 -19.467599868774414 -inf LogParabola 1021.7991943359375 4.54952969828476e-13 2.281949996948242 5.614108895650449e-13 2.102951765060425 0.23374992609024048 bcu LSP 49.87993621826172 0.5918794274330139 0.15997198224067688 4.248251472827036e-10 4.1030182723611475e-11
J0003.3-5905 0.8482999801635742 -59.09519958496094 -inf PowerLaw 1740.5125732421875 4.3985041981277687e-14 2.273909568786621 4.348576688084811e-14 2.278926134109497 -0.006078486330807209 bcu "" 10.148149490356445 0.0 10.0 1.2143380745399668e-10 2.1709415515269725e-11
J0003.5+0717 0.8795999884605408 7.295000076293945 -inf LogParabola 2149.713623046875 2.7537173252377076e-14 2.2172672748565674 4.201747931249604e-14 1.964383840560913 0.4647964835166931 bcu LSP 10.951772689819336 0.0 10.0 1.5356722837811532e-10 3.667048262268047e-11
J0003.9-1149 0.9986000061035156 -11.82509994506836 1.30999 LogParabola 1362.569580078125 1.7159216484773782e-13 2.1779603958129883 2.1293688654781123e-13 2.0099005699157715 0.2019716501235962 bll LSP 7.357996463775635 0.0 10.0 3.312603524818769e-10 4.011191725994401e-11
J0004.0+0840 1.0073000192642212 8.675700187683105 2.057129 LogParabola 2901.4052734375 1.9492111917596144e-14 2.002624988555908 2.907071623898562e-14 1.5944288969039917 0.4375789761543274 bll ISP 15.305800437927246 0.35787227749824524 0.49666979908943176 1.7724999246127027e-10 3.7600967478512715e-11
J0004.3+4614 1.075700044631958 46.242698669433594 1.81 LogParabola 683.0358276367188 1.5384192400894059e-12 2.587958335876465 1.770265791595227e-12 2.490067958831787 0.13974934816360474 fsrq LSP 139.03675842285156 1.0162235498428345 0.23423729836940765 3.84814874410111e-10 4.195497768644252e-11
J0004.4-4737 1.1090999841690063 -47.62329864501953 0.88 PowerLaw 848.0161743164062 8.389526053032004e-13 2.4382216930389404 9.096000862240938e-13 2.3934719562530518 0.07083267718553543 fsrq LSP 153.28648376464844 0.8234981298446655 0.18814608454704285 3.898786016254263e-10 3.2763083912534796e-11
J0005.9+3824 1.4986000061035156 38.4010009765625 0.229 LogParabola 495.85479736328125 4.169482467619723e-12 2.6222498416900635 5.05723327798302e-12 2.5237925052642822 0.18571999669075012 fsrq LSP 41.21147537231445 0.36480122804641724 0.10750577598810196 4.0120826105827234e-10 4.249379667586872e-11
J0006.3-0620 1.5992000102996826 -6.349299907684326 0.347 PowerLaw 2238.3740234375 2.590572680959309e-14 2.1502833366394043 3.116251831233874e-14 2.123748779296875 0.12460078299045563 bll LSP 23.37936782836914 0.4856095016002655 0.33241215348243713 1.2675634153413995e-10 2.7863327964339213e-11
J0006.4+0135 1.6094000339508057 1.5981999635696411 0.787 LogParabola 2320.78662109375 2.759552365804753e-14 2.080756664276123 3.7670970401242065e-14 1.7125117778778076 0.3439277112483978 bll ISP 4.88104772567749 0.0 10.0 1.6665398228088435e-10 3.528145831044327e-11
J0006.4-5621 1.6102999448776245 -56.36349868774414 0.2912 PowerLaw 994.7024536132812 1.3465006290947629e-13 2.48356556892395 1.6371727920832385e-13 2.4229586124420166 0.1763264238834381 bll LSP 11.135396003723145 0.0 10.0 8.95105725651213e-11 2.0917573229084496e-11
J0007.7+4008 1.9275000095367432 40.13399887084961 -inf LogParabola 1652.0909423828125 1.584781974704394e-13 2.13956618309021 1.7997894299036366e-13 1.9320873022079468 0.1454445719718933 bcu "" 35.6624870300293 0.5100382566452026 0.1546391397714615 4.4584436142969253e-10 4.382318466444879e-11
J0008.0+4711 2.0023999214172363 47.19499969482422 -999.0 LogParabola 1333.5521240234375 1.1528477825151207e-12 2.0533266067504883 1.230940913435341e-12 1.926044225692749 0.07583692669868469 bll LSP 5.772488594055176 0.0 10.0 2.0905304154439364e-09 7.382693067992108e-11
J0008.0-3937 2.0048000812530518 -39.63199996948242 -inf PowerLaw 774.57763671875 3.8269477105508376e-13 2.625964403152466 4.860426297548237e-13 2.6039628982543945 0.219093456864357 bcu LSP 16.605424880981445 0.4244895875453949 0.24760127067565918 1.2033550544909843e-10 2.5553238344744322e-11
J0008.4-2339 2.1110000610351562 -23.651399612426758 0.147 LogParabola 4584.3369140625 9.985922983966281e-15 1.7175812721252441 1.299832789824042e-14 1.4628757238388062 0.19936692714691162 bll "" 12.51933765411377 0.0 10.0 1.8154193426322962e-10 3.407116949682987e-11
J0008.4+1455 2.1245999336242676 14.923199653625488 -inf LogParabola 1593.162109375 1.9542414832641325e-13 2.0788698196411133 2.1926530686597334e-13 1.937902808189392 0.10533338040113449 bcu "" 51.855560302734375 0.6572665572166443 0.17291215062141418 5.173333428309945e-10 4.808919581988924e-11
J0009.1+0628 2.297300100326538 6.482800006866455 1.562629 PowerLaw 1643.1922607421875 2.0571344378373518e-13 2.149775743484497 2.2124522266325775e-13 2.1215102672576904 0.047164175659418106 bll LSP 14.957571029663086 0.17013779282569885 0.14786963164806366 5.179052187109789e-10 4.4573036234174523e-11
J0009.3+5030 2.34660005569458 50.51150131225586 -999.0 LogParabola 1379.1864013671875 1.2287696901647216e-12 1.9903688430786133 1.3288884966392023e-12 1.8838741779327393 0.06952761113643646 bll HSP 204.73532104492188 0.4087240397930145 0.09222539514303207 2.489703998520554e-09 7.72086561351415e-11
J0009.7-3217 2.4442999362945557 -32.29759979248047 0.02542 PowerLaw 1571.5107421875 9.116198871087985e-14 2.2399141788482666 9.905317804046257e-14 2.2020461559295654 0.05805715173482895 rdg ISP 27.93622589111328 0.5739513039588928 0.19835516810417175 2.0176021964246615e-10 2.855157603398606e-11
J0009.8-4317 2.4532999992370605 -43.29790115356445 0.56 PowerLaw 1693.8843994140625 9.04243653153565e-14 2.170680284500122 9.06250104799021e-14 2.1687417030334473 0.0005519107799045742 bll "" 13.812000274658203 0.19140024483203888 0.22269396483898163 2.4143737009652e-10 2.8082647318683485e-11
J0009.8+1340 2.4653000831604004 13.671199798583984 -inf PowerLaw 3366.886962890625 9.736999482526029e-15 2.0345723628997803 1.5190380556065822e-14 1.5114799737930298 0.7426486015319824 bcu HSP 11.894108772277832 0.0 10.0 1.1033494951018241e-10 2.898840542608916e-11
J0009.8-6358 2.474299907684326 -63.969600677490234 -inf PowerLaw 420.4732666015625 1.3019782734574603e-12 2.93074893951416 1.3011705428389586e-12 2.930189609527588 -0.013547711074352264 bcu LSP 12.618603706359863 0.10057780891656876 0.6127402186393738 5.3257606658085876e-11 1.8023315478954416e-11
