Source_Name RAJ2000 DEJ2000 Redshift SpectrumType Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_beta CLASS SED_class Variability_Index Frac_Variability Unc_Frac_Variability Flux1000 Unc_Flux1000
J0001.4-0010 0.3716999888420105 -0.16990000009536743 0.461516 PowerLaw 4307.08251953125 6.0673558699723875e-15 1.939159631729126 6.488817441669499e-15 1.6612231731414795 0.13243834674358368 bll LSP 9.272764205932617 0.0 10.0 1.0822458207382368e-10 2.9144395230495945e-11
J0001.5+2113 0.3815000057220459 21.218299865722656 1.106 LogParabola 329.77374267578125 4.6835979539139316e-11 2.654059886932373 5.371561528910718e-11 2.5141594409942627 0.15931938588619232 fsrq ISP 1910.935791015625 0.9961379170417786 0.2134784758090973 1.3473535620533994e-09 6.172808791893303e-11
J0003.2+2207 0.8058000206947327 22.130199432373047 0.09983 LogParabola 4582.17822265625 5.158159598235568e-15 2.1164166927337646 1.0684074644147588e-14 1.8975305557250977 0.9998927116394043 bll LSP 12.451855659484863 0.0 10.0 9.928426830674297e-11 3.024731506928724e-11
J0003.9-1149 0.9986000061035156 -11.82509994506836 1.30999 LogParabola 1362.569580078125 1.7159216484773782e-13 2.1779603958129883 2.1293688654781123e-13 2.0099005699157715 0.2019716501235962 bll LSP 7.357996463775635 0.0 10.0 3.312603524818769e-10 4.011191725994401e-11
J0004.0+0840 1.0073000192642212 8.675700187683105 2.057129 LogParabola 2901.4052734375 1.9492111917596144e-14 2.002624988555908 2.907071623898562e-14 1.5944288969039917 0.4375789761543274 bll ISP 15.305800437927246 0.35787227749824524 0.49666979908943176 1.7724999246127027e-10 3.7600967478512715e-11
J0004.3+4614 1.075700044631958 46.242698669433594 1.81 LogParabola 683.0358276367188 1.5384192400894059e-12 2.587958335876465 1.770265791595227e-12 2.490067958831787 0.13974934816360474 fsrq LSP 139.03675842285156 1.0162235498428345 0.23423729836940765 3.84814874410111e-10 4.195497768644252e-11
J0004.4-4737 1.1090999841690063 -47.62329864501953 0.88 PowerLaw 848.0161743164062 8.389526053032004e-13 2.4382216930389404 9.096000862240938e-13 2.3934719562530518 0.07083267718553543 fsrq LSP 153.28648376464844 0.8234981298446655 0.18814608454704285 3.898786016254263e-10 3.2763083912534796e-11
J0005.9+3824 1.4986000061035156 38.4010009765625 0.229 LogParabola 495.85479736328125 4.169482467619723e-12 2.6222498416900635 5.05723327798302e-12 2.5237925052642822 0.18571999669075012 fsrq LSP 41.21147537231445 0.36480122804641724 0.10750577598810196 4.0120826105827234e-10 4.249379667586872e-11
J0006.3-0620 1.5992000102996826 -6.349299907684326 0.347 PowerLaw 2238.3740234375 2.590572680959309e-14 2.1502833366394043 3.116251831233874e-14 2.123748779296875 0.12460078299045563 bll LSP 23.37936782836914 0.4856095016002655 0.33241215348243713 1.2675634153413995e-10 2.7863327964339213e-11
J0006.4+0135 1.6094000339508057 1.5981999635696411 0.787 LogParabola 2320.78662109375 2.759552365804753e-14 2.080756664276123 3.7670970401242065e-14 1.7125117778778076 0.3439277112483978 bll ISP 4.88104772567749 0.0 10.0 1.6665398228088435e-10 3.528145831044327e-11
J0006.4-5621 1.6102999448776245 -56.36349868774414 0.2912 PowerLaw 994.7024536132812 1.3465006290947629e-13 2.48356556892395 1.6371727920832385e-13 2.4229586124420166 0.1763264238834381 bll LSP 11.135396003723145 0.0 10.0 8.95105725651213e-11 2.0917573229084496e-11
J0008.4-2339 2.1110000610351562 -23.651399612426758 0.147 LogParabola 4584.3369140625 9.985922983966281e-15 1.7175812721252441 1.299832789824042e-14 1.4628757238388062 0.19936692714691162 bll "" 12.51933765411377 0.0 10.0 1.8154193426322962e-10 3.407116949682987e-11
J0009.1+0628 2.297300100326538 6.482800006866455 1.562629 PowerLaw 1643.1922607421875 2.0571344378373518e-13 2.149775743484497 2.2124522266325775e-13 2.1215102672576904 0.047164175659418106 bll LSP 14.957571029663086 0.17013779282569885 0.14786963164806366 5.179052187109789e-10 4.4573036234174523e-11
J0009.7-3217 2.4442999362945557 -32.29759979248047 0.02542 PowerLaw 1571.5107421875 9.116198871087985e-14 2.2399141788482666 9.905317804046257e-14 2.2020461559295654 0.05805715173482895 rdg ISP 27.93622589111328 0.5739513039588928 0.19835516810417175 2.0176021964246615e-10 2.855157603398606e-11
J0009.8-4317 2.4532999992370605 -43.29790115356445 0.56 PowerLaw 1693.8843994140625 9.04243653153565e-14 2.170680284500122 9.06250104799021e-14 2.1687417030334473 0.0005519107799045742 bll "" 13.812000274658203 0.19140024483203888 0.22269396483898163 2.4143737009652e-10 2.8082647318683485e-11
J0010.6+2043 2.6501998901367188 20.733200073242188 0.6 PowerLaw 1318.482177734375 1.0727630941767888e-13 2.390063524246216 1.1624264105534327e-13 2.328984498977661 0.07038871943950653 fsrq LSP 30.50217628479004 0.8265568614006042 0.28661081194877625 1.4923970392821673e-10 3.018916019947859e-11
J0010.6-3025 2.6675000190734863 -30.425800323486328 1.19 LogParabola 606.6101684570312 2.2436982827223062e-12 2.4249508380889893 2.5821133425862897e-12 2.2681288719177246 0.15624313056468964 fsrq LSP 168.77639770507812 0.8408477902412415 0.19004440307617188 4.989192947668641e-10 4.080262169803284e-11
J0011.4-4110 2.8501999378204346 -41.174198150634766 0.091 PowerLaw 1013.241943359375 1.3267705890104148e-13 2.5006473064422607 1.4842754846380868e-13 2.4800832271575928 0.08663003146648407 bcu ISP 7.678005218505859 0.0 10.0 9.131599643108501e-11 2.2124699641801193e-11
J0011.4+0057 2.85509991645813 0.9646000266075134 1.492 LogParabola 757.169677734375 1.7565123617765965e-12 2.353538990020752 1.8841597119317877e-12 2.2449185848236084 0.08350546658039093 fsrq LSP 231.06698608398438 0.984393298625946 0.21900290250778198 7.14802439460982e-10 5.355136820095474e-11
J0013.0+3355 3.2636001110076904 33.920101165771484 1.682 PowerLaw 1856.10205078125 4.7398733836511234e-14 2.259154796600342 5.383348050647628e-14 2.188725471496582 0.09959833323955536 fsrq LSP 59.59149169921875 1.255380392074585 0.3307243883609772 1.518120490429098e-10 2.7713184178046468e-11
J0013.6+4051 3.401400089263916 40.856300354003906 0.2555 PowerLaw 1961.4095458984375 4.6393600495586024e-14 2.2855615615844727 4.113982781826439e-14 2.3133091926574707 -0.06169112026691437 agn LSP 10.474952697753906 0.0 10.0 1.678842620478349e-10 2.8472318253092155e-11
J0013.6-0424 3.420799970626831 -4.401700019836426 1.075 PowerLaw 2865.45068359375 2.3299584307810532e-14 2.1303787231445312 2.2311896457466972e-14 2.144674062728882 -0.0322580523788929 fsrq LSP 12.135636329650879 0.0 10.0 1.9312093590961865e-10 3.619349264738503e-11
