Source_Name RAJ2000 DEJ2000 Redshift SpectrumType Pivot_Energy PL_Flux_Density PL_Index LP_Flux_Density LP_Index LP_beta CLASS SED_class
J0001.2+4741 0.3125999867916107 47.6859016418457 -inf PowerLaw 2420.5751953125 2.156031226490697e-14 2.271695613861084 2.1965498945555537e-14 2.2540812492370605 0.01215613353997469 bcu ISP
J0001.2-0747 0.3151000142097473 -7.797100067138672 -inf PowerLaw 1721.6038818359375 2.656894073239241e-13 2.116692304611206 2.8428309511129013e-13 2.0789265632629395 0.05118202418088913 bll LSP
J0001.4-0010 0.3716999888420105 -0.16990000009536743 0.461516 PowerLaw 4307.08251953125 6.0673558699723875e-15 1.939159631729126 6.488817441669499e-15 1.6612231731414795 0.13243834674358368 bll LSP
J0001.5+2113 0.3815000057220459 21.218299865722656 1.106 LogParabola 329.77374267578125 4.6835979539139316e-11 2.654059886932373 5.371561528910718e-11 2.5141594409942627 0.15931938588619232 fsrq ISP
J0001.6-4156 0.4165000021457672 -41.942501068115234 -inf PowerLaw 4047.030029296875 1.8815413907902895e-14 1.7751754522323608 2.1315970364678416e-14 1.6938645839691162 0.07275369018316269 bcu HSP
J0001.8-2153 0.46470001339912415 -21.886499404907227 -inf PowerLaw 4429.93408203125 4.942709991837858e-15 1.8766632080078125 7.494640690930247e-15 1.7166204452514648 0.40580785274505615 bcu LSP
J0002.1-6728 0.5378000140190125 -67.47460174560547 -inf LogParabola 3140.743408203125 2.5782966324547525e-14 1.8477731943130493 3.1999949294102964e-14 1.5934360027313232 0.18679024279117584 bll ""
J0002.3-0815 0.5936999917030334 -8.265199661254883 -inf PowerLaw 3399.59375 1.0122238537266758e-14 2.0920746326446533 1.2610081876536939e-14 2.0607266426086426 0.14686869084835052 bcu LSP
J0002.4-5156 0.613099992275238 -51.93550109863281 -inf PowerLaw 4073.99609375 4.920186115220946e-15 1.9144564867019653 6.868273802479322e-15 1.5352649688720703 0.36898672580718994 bcu ""
J0003.1-5248 0.7817000150680542 -52.807098388671875 -999.0 PowerLaw 3392.685791015625 3.0818548396854134e-14 1.915512204170227 3.316658471301526e-14 1.8593990802764893 0.0473734512925148 bcu ""
