Source_Name,sigma²_NXS(month),err_sigma²_NXS(month),a*sigma²_NXS(month),sigma²_NXS(3 day),err_sigma²_NXS(3 day)
J0001.2+4741,,,,,
J0001.2-0747,,,,,
J0001.4-0010,,,,,
J0001.5+2113,0.8218393011044315,0.031840671908688466,3.010458815801991,,
J0001.6-4156,,,,,
J0001.8-2153,,,,,
J0002.1-6728,,,,,
J0002.3-0815,,,,,
J0002.4-5156,,,,,
J0003.1-5248,,,,,
J0003.2+2207,,,,,
J0003.3-1928,,,,,
J0003.3-5905,,,,,
J0003.5+0717,,,,,
J0003.9-1149,,,,,
J0004.0+0840,,,,,
J0004.3+4614,,,,,
J0004.4-4737,,,,,
J0005.9+3824,,,,,
J0006.3-0620,,,,,
J0006.4+0135,,,,,
J0006.4-5621,,,,,
J0007.7+4008,,,,,
J0008.0+4711,,,,,
J0008.0-3937,,,,,
J0008.4-2339,,,,,
J0008.4+1455,,,,,
J0009.1+0628,,,,,
J0009.3+5030,0.07624467041330849,0.019028353295029273,0.2792899291810518,,
J0009.7-3217,,,,,
J0009.8-4317,,,,,
J0009.8+1340,,,,,
J0009.8-6358,,,,,
J0010.6+2043,,,,,
J0010.6-3025,,,,,
J0010.8-2154,,,,,
J0011.4-4110,,,,,
J0011.4+0057,0.38257065231294446,0.04981011510810179,1.401384907456833,,
J0011.8-3142,,,,,
J0012.0+7043,,,,,
J0013.0+3355,,,,,
J0013.1-3955,,,,,
J0013.4+0950,,,,,
J0013.6+4051,,,,,
J0013.6-0424,,,,,
J0013.9-1854,,,,,
J0014.1+1910,,,,,
J0014.1-5022,,,,,
J0014.2+0854,,,,,
J0014.3-0500,,,,,
J0014.7+5801,,,,,
J0014.8+6118,,,,,
J0014.9+3212,,,,,
J0015.2+3537,,,,,
J0015.6+5551,,,,,
J0015.9+2440,,,,,
J0016.2-0016,,,,,
J0016.5+1702,,,,,
J0017.0-0649,,,,,
J0017.5-0514,0.30286908247102096,0.037816801463296544,1.1094320971672365,,
J0017.8+1455,,,,,
J0018.4+2946,,,,,
J0018.8+2611,,,,,
J0019.2-5640,,,,,
J0019.3-8152,,,,,
J0019.6+7327,0.3258378430523957,0.03673852382219503,1.193568384744774,,
J0019.6+2022,,,,,
J0020.3+6919,,,,,
J0021.0+0322,,,,,
J0021.5-2552,,,,,
J0021.6-0855,,,,,
J0021.9-5140,,,,,
J0022.0+0006,,,,,
J0022.1-1854,,,,,
J0022.5+0608,0.15940998771679432,0.022666191226919714,0.5839307054359643,,
J0023.7-6820,,,,,
J0023.7+4457,,,,,
J0023.9+1603,,,,,
J0024.4+4647,,,,,
J0024.5-0810,,,,,
J0024.7+0349,,,,,
J0025.2-2231,,,,,
J0025.7-4801,,,,,
J0026.6-4600,,,,,
J0028.1+7505,,,,,
J0028.5+2001,,,,,
J0028.8-0112,,,,,
J0028.9+3553,,,,,
J0029.0-7044,,,,,
J0029.4+2051,,,,,
J0030.2-1647,,,,,
J0030.3-4224,0.541162725502309,0.03203036361783577,1.982319530816454,,
J0030.6-0212,0.46946198479641715,0.029430292952282507,1.7196743559416199,,
J0031.3+0726,,,,,
J0032.3-5522,,,,,
J0032.4-2849,,,,,
J0032.5-4724,,,,,
J0033.3-2040,,,,,
J0033.5-1921,0.07305211133446703,0.020117783751002292,0.2675953465406851,,
J0033.9+3858,,,,,
J0034.0-4116,,,,,
J0035.0-5728,,,,,
J0035.2+1514,,,,,
J0035.8-0837,,,,,
J0035.8+6131,,,,,
J0035.9+5950,0.12097040983146784,0.02582320770578538,0.4431236571905511,,
J0036.8+1431,,,,,
J0036.9+1832,,,,,
J0037.6+3653,,,,,
J0037.8+1239,,,,,
J0037.9+2612,,,,,
J0038.1+0012,,,,,
J0038.2-2459,0.9238587590589364,0.02586301645785163,3.384163719144711,,
J0038.7-0204,,,,,
J0039.0-0946,,,,,
J0039.1-2219,,,,,
J0039.1+4330,,,,,
J0040.3+4050,,,,,
J0040.4-2340,,,,,
J0040.9+3203,,,,,
J0041.3+6052,,,,,
J0041.4+3800,,,,,
J0041.7-1607,,,,,
J0041.9-4702,,,,,
J0042.0+3640,,,,,
J0042.2+2319,,,,,
J0043.5-0442,,,,,
J0043.6+2223,,,,,
J0043.7-1116,,,,,
J0043.8+3425,0.22499821650164553,0.022202528027602208,0.8241852920599533,-0.01947133413902136,0.015863097641485597
J0044.2-8424,,,,,
J0044.8+6802,,,,,
J0044.9+4553,,,,,
J0045.1-3706,,,,,
J0045.3+2128,0.3486800821374294,0.05535079767524039,1.2772412146201346,,
J0045.7+1217,,,,,
J0047.0+5657,,,,,
J0047.1-6203,,,,,
J0047.9+3947,,,,,
J0047.9+5448,,,,,
J0047.9+2233,,,,,
J0048.6-2427,,,,,
J0049.0+2252,,,,,
J0049.1+4223,,,,,
J0049.4-5402,,,,,
J0049.5-4150,,,,,
J0049.6-4500,,,,,
J0049.7+0237,0.14175494276611975,0.022859614895698665,0.5192589555650186,,
J0050.0-5736,0.5062012449640398,0.04263004363088936,1.8542530132399868,,
J0050.4-0452,0.23118084410750095,0.04220105402758714,0.846832719307416,,
J0050.7-0929,0.17420790495408464,0.017753368580011482,0.6381365828412456,-0.049707680884281194,0.011065332861446486
J0050.8-3428,,,,,
J0051.1-0648,0.22254639861562212,0.04390725981693717,0.815204099800346,,
J0051.2-6242,0.0877647317769445,0.027002487971213553,0.32148877540820614,,
J0051.5-4220,0.1772799622597296,0.04170471711109498,0.6493897584754595,,
J0052.9-6644,,,,,
J0054.4+8627,,,,,
J0054.7-2455,,,,,
J0054.8-1954,,,,,
J0055.1-1219,,,,,
J0056.3-0935,,,,,
J0056.4-2118,,,,,
J0056.5-3936,,,,,
J0056.6-4452,,,,,
J0056.6-5317,,,,,
J0056.8+1626,,,,,
J0057.0+4101,,,,,
J0057.3+2216,,,,,
J0057.7+3023,,,,,
J0058.0-0539,,,,,
J0058.0-3233,,,,,
J0058.3+1723,,,,,
J0058.4+3315,,,,,
J0058.6-1140,,,,,
J0059.2+0006,,,,,
J0059.3-0152,,,,,
J0059.5-3512,,,,,
J0059.5-3338,,,,,
J0100.3+0745,,,,,
J0101.0-0059,,,,,
J0101.7-5455,,,,,
J0101.8-7543,,,,,
J0102.0+1639,,,,,
J0102.1+5846,,,,,
J0102.4+4214,,,,,
J0102.4+0942,,,,,
J0102.6-5639,,,,,
J0102.7-2001,,,,,
J0102.8+5824,0.5053505299481676,0.02101386349295381,1.8511367805217098,0.19559050641126183,0.01582250229845567
J0103.1+4954,,,,,
J0103.5+1526,,,,,
J0103.5+5337,,,,,
J0103.8+1321,,,,,
J0104.8-2416,0.16778998698108183,0.054155060673547396,0.6146272693842767,,
J0105.1+3929,0.13855893915135103,0.04193535814208607,0.5075517553319733,,
J0106.9-4832,,,,,
J0107.3-1210,,,,,
J0107.4+0334,,,,,
J0107.6+4950,,,,,
J0108.1-0039,,,,,
J0108.6+0134,1.326296618779762,0.011323539085775675,4.858323692975283,0.9612246579345263,0.009987984314926347
J0109.1+1815,,,,,
J0109.3+2401,,,,,
J0109.7+6133,0.45420712256634244,0.025795936835560473,1.6637946548581382,,
J0110.0-4019,,,,,
J0110.1+6805,,,,,
J0110.2+4151,,,,,
J0110.3-0431,,,,,
J0110.7-1254,,,,,
J0110.9+4344,,,,,
J0111.4+0534,,,,,
J0111.5-2546,,,,,
J0112.0-6634,,,,,
J0112.1+2245,0.3379917110834523,0.012077166420629603,1.2380889121897602,0.18010404604885943,0.010745317654108804
J0112.1-0321,,,,,
J0112.6-3158,,,,,
J0112.8-7506,,,,,
J0112.8+3208,4.221928767501863,0.04510436354985385,15.4652407845837,2.5832099090280325,0.03331844930233534
J0113.1-3553,,,,,
J0113.4+4948,0.598864609199826,0.05705145428673987,2.193685845656997,,
J0113.7+0225,,,,,
J0114.0+6418,,,,,
J0114.8+1326,,,,,
J0114.9-3400,,,,,
J0115.1+2622,,,,,
J0115.1-0129,,,,,
J0115.6+0356,,,,,
J0115.8+2519,0.18252657604752576,0.036458451536211106,0.668608497113723,,
J0116.0-1136,1.5769345732229156,0.1065343921896909,5.776429262414448,,
J0116.0-2745,,,,,
J0116.2-6153,,,,,
J0116.5-2812,,,,,
J0116.5-3046,,,,,
J0117.5-2442,,,,,
J0117.8-2109,,,,,
